chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.747938
4,5,32,80,decode,13.523334
4,5,32,80,repair,1.062397
8,10,32,80,encode,15.362422
8,10,32,80,decode,11.817062
8,10,32,80,repair,0.51283896
12,15,32,80,encode,17.498896
12,15,32,80,decode,14.146372
12,15,32,80,repair,0.4073028
