chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.779865
8,10,16,40,decode,14.421667
8,10,16,40,repair,0.7086591
8,10,32,80,encode,15.311101
8,10,32,80,decode,11.943585
8,10,32,80,repair,0.5009144
8,10,48,120,encode,15.43965
8,10,48,120,decode,11.821468
8,10,48,120,repair,0.48805413
