chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.563482
8,10,16,40,decode,14.038035
8,10,16,40,repair,0.709516
8,10,32,80,encode,15.118834
8,10,32,80,decode,11.770635
8,10,32,80,repair,0.48120412
8,10,48,120,encode,15.19633
8,10,48,120,decode,11.687838
8,10,48,120,repair,0.43493268
