churn_rate,node_count,duration,faulty_rate,object_count,chunk_n,chunk_k,fragment_n,fragment_k,cache_sec,targeted_count,data_lost,targeted,repair,alive_count
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1845.8671875,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,528,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,407.1796875,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31191.95703125,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52912.875,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40612.18359375,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1192.2599999990607,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31141.09375,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,120.76000000002487,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3125.2421875,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,648.38671875,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1196.8799999990565,3
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1197.7899999990557,3
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,120.09000000002453,3
4,100000,31536000,0,100,10,8,80,32,172800,0,0,0,6462.4453125,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31204.6328125,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1844.48046875,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,406.60546875,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,404.4609375,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3099.56640625,80
4,100000,31536000,0,10,10,8,80,32,21600,0,0,0,4046.83984375,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,311.05078125,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,12.229999999999784,3
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18428.8125,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,406.73828125,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18407.3984375,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,642.16015625,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,409.18359375,80
4,100000,31536000,0,1,10,8,80,32,86400,0,0,0,182.265625,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5249.625,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,401.12109375,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1198.429999999055,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31201.11328125,80
4,100000,31536000,0,10,10,8,80,32,21600,0,0,0,4051.703125,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1203.1999999990508,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31172.40625,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52882.625,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,644.3984375,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18378.06640625,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,11.999999999999789,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31161.37890625,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,533,80
4,100000,31536000,0,1000,100,100,3,1,4294967295,0,0,0,12001.620000215547,3
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,646.96484375,80
4,100000,31536000,0,100,10,8,80,32,172800,0,0,0,6426.12109375,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,645.296875,80
4,100000,31536000,0,100,10,8,80,32,172800,0,0,0,6484.84375,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,641.06640625,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,400.9140625,80
4,100000,31536000,0,100,10,8,80,32,172800,0,0,0,6421.58984375,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52726.125,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,12.37999999999978,3
