churn_rate,node_count,duration,faulty_rate,object_count,chunk_n,chunk_k,fragment_n,fragment_k,cache_sec,targeted_count,data_lost,targeted,repair,alive_count
4,100000,43200,0.33,1,1,1,80,32,0,0,0,0,1,49
4,100000,43200,0.33,1,1,1,100,32,0,0,0,0,1,64
4,100000,129600,0.33,1,1,1,80,32,0,0,0,0,5,50
4,100000,129600,0.33,1,1,1,100,32,0,0,0,0,3,65
4,100000,216000,0.33,1,1,1,80,32,0,0,0,0,9,48
4,100000,216000,0.33,1,1,1,100,32,0,0,0,0,8,63
4,100000,302400,0.33,1,1,1,80,32,0,0,0,0,13,49
4,100000,302400,0.33,1,1,1,100,32,0,0,0,0,11,64
4,100000,388800,0.33,1,1,1,80,32,0,0,0,0,15,50
4,100000,388800,0.33,1,1,1,100,32,0,0,0,0,13,64
4,100000,475200,0.33,1,1,1,80,32,0,0,0,0,18,52
4,100000,475200,0.33,1,1,1,100,32,0,0,0,0,17,62
4,100000,561600,0.33,1,1,1,80,32,0,0,0,0,21,51
4,100000,561600,0.33,1,1,1,100,32,0,0,0,0,20,62
4,100000,648000,0.33,1,1,1,80,32,0,0,0,0,23,53
4,100000,648000,0.33,1,1,1,100,32,0,0,0,0,23,61
4,100000,734400,0.33,1,1,1,80,32,0,0,0,0,27,55
4,100000,734400,0.33,1,1,1,100,32,0,0,0,0,28,58
4,100000,820800,0.33,1,1,1,80,32,0,0,0,0,29,56
4,100000,820800,0.33,1,1,1,100,32,0,0,0,0,32,56
4,100000,907200,0.33,1,1,1,80,32,0,0,0,0,31,56
4,100000,907200,0.33,1,1,1,100,32,0,0,0,0,35,56
4,100000,993600,0.33,1,1,1,80,32,0,0,0,0,36,55
4,100000,993600,0.33,1,1,1,100,32,0,0,0,0,38,55
4,100000,1080000,0.33,1,1,1,80,32,0,0,0,0,37,56
4,100000,1080000,0.33,1,1,1,100,32,0,0,0,0,41,55
4,100000,1166400,0.33,1,1,1,80,32,0,0,0,0,40,56
4,100000,1166400,0.33,1,1,1,100,32,0,0,0,0,44,55
4,100000,1252800,0.33,1,1,1,80,32,0,0,0,0,42,57
4,100000,1252800,0.33,1,1,1,100,32,0,0,0,0,47,55
4,100000,1339200,0.33,1,1,1,80,32,0,0,0,0,46,58
4,100000,1339200,0.33,1,1,1,100,32,0,0,0,0,51,57
4,100000,1425600,0.33,1,1,1,80,32,0,0,0,0,48,57
4,100000,1425600,0.33,1,1,1,100,32,0,0,0,0,54,56
4,100000,1512000,0.33,1,1,1,80,32,0,0,0,0,51,57
4,100000,1512000,0.33,1,1,1,100,32,0,0,0,0,57,55
4,100000,1598400,0.33,1,1,1,80,32,0,0,0,0,54,56
4,100000,1598400,0.33,1,1,1,100,32,0,0,0,0,62,55
4,100000,1684800,0.33,1,1,1,80,32,0,0,0,0,59,56
4,100000,1684800,0.33,1,1,1,100,32,0,0,0,0,66,56
4,100000,1771200,0.33,1,1,1,80,32,0,0,0,0,61,56
4,100000,1771200,0.33,1,1,1,100,32,0,0,0,0,69,57
4,100000,1857600,0.33,1,1,1,80,32,0,0,0,0,63,56
4,100000,1857600,0.33,1,1,1,100,32,0,0,0,0,72,57
4,100000,1944000,0.33,1,1,1,80,32,0,0,0,0,65,57
4,100000,1944000,0.33,1,1,1,100,32,0,0,0,0,74,55
