chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.526209
4,5,32,80,decode,13.410371
4,5,32,80,repair,1.0997031
8,10,32,80,encode,15.108065
8,10,32,80,decode,11.737901
8,10,32,80,repair,0.49854076
12,15,32,80,encode,17.424398
12,15,32,80,decode,14.128916
12,15,32,80,repair,0.43401977
