chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.612472
4,5,32,80,decode,13.935077
4,5,32,80,repair,1.1532319
8,10,32,80,encode,15.38549
8,10,32,80,decode,11.840732
8,10,32,80,repair,0.50383466
12,15,32,80,encode,17.631086
12,15,32,80,decode,14.23706
12,15,32,80,repair,0.43551737
