chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.684458
4,5,32,80,decode,13.75706
4,5,32,80,repair,1.0921493
8,10,32,80,encode,15.121975
8,10,32,80,decode,11.749007
8,10,32,80,repair,0.47383007
12,15,32,80,encode,17.375528
12,15,32,80,decode,14.065696
12,15,32,80,repair,0.44616908
