chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.515772
4,5,32,80,decode,15.26336
4,5,32,80,repair,1.0941033
8,10,32,80,encode,14.836663
8,10,32,80,decode,11.367632
8,10,32,80,repair,0.5184943
12,15,32,80,encode,17.08719
12,15,32,80,decode,14.235614
12,15,32,80,repair,0.40507185
