chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.856889
4,5,32,80,decode,14.008166
4,5,32,80,repair,1.1460053
8,10,32,80,encode,15.442152
8,10,32,80,decode,11.82171
8,10,32,80,repair,0.4872793
12,15,32,80,encode,17.567087
12,15,32,80,decode,14.109927
12,15,32,80,repair,0.42389527
