chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.569736
8,10,16,40,decode,14.031487
8,10,16,40,repair,0.7215919
8,10,32,80,encode,15.03127
8,10,32,80,decode,11.912693
8,10,32,80,repair,0.49261072
8,10,48,120,encode,15.365093
8,10,48,120,decode,11.734248
8,10,48,120,repair,0.49112374
