chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.899437
8,10,16,40,decode,14.477884
8,10,16,40,repair,0.72969943
8,10,32,80,encode,15.302636
8,10,32,80,decode,11.795295
8,10,32,80,repair,0.4973929
8,10,48,120,encode,15.503853
8,10,48,120,decode,11.747908
8,10,48,120,repair,0.5105182
