chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,16.232676
4,5,32,80,decode,14.093037
4,5,32,80,repair,1.1542245
8,10,32,80,encode,15.599249
8,10,32,80,decode,11.803026
8,10,32,80,repair,0.51615393
12,15,32,80,encode,17.936802
12,15,32,80,decode,14.186774
12,15,32,80,repair,0.44457698
