chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.986526
8,10,16,40,decode,13.958893
8,10,16,40,repair,0.737752
8,10,32,80,encode,15.435767
8,10,32,80,decode,11.966225
8,10,32,80,repair,0.5116928
8,10,48,120,encode,15.608188
8,10,48,120,decode,12.020292
8,10,48,120,repair,0.5207067
