chunk_k,chunk_n,fragment_k,fragment_n,op,time
4,5,32,80,encode,15.704673
4,5,32,80,decode,13.496508
4,5,32,80,repair,1.1327441
8,10,32,80,encode,15.273705
8,10,32,80,decode,12.067225
8,10,32,80,repair,0.48718074
12,15,32,80,encode,15.831323
12,15,32,80,decode,14.248037
12,15,32,80,repair,0.40155202
