chunk_k,chunk_n,fragment_k,fragment_n,op,time
8,10,16,40,encode,16.828083
8,10,16,40,decode,14.327349
8,10,16,40,repair,0.7330758
8,10,32,80,encode,15.304056
8,10,32,80,decode,11.913918
8,10,32,80,repair,0.5154438
8,10,48,120,encode,15.527419
8,10,48,120,decode,11.84776
8,10,48,120,repair,0.45091742
